"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Building permits, by type of structure and type of work","34100285",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410028501",1;9;10,"CURRENT - a cube available to the public and that is current","Monthly","2017-01-01","2024-12-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Type of building",,""
"3","Type of work",13,""
"4","Variables",,""
"5","Seasonal adjustment, value type",11;12,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",,
"1","Quebec","[24]","6","1","",,
"1","Ontario","[35]","7","1","",,
"1","Manitoba","[46]","8","1","",,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Yukon","[60]","12","1","",,
"1","Northwest Territories","[61]","13","1","",,
"1","Nunavut","[62]","14","1","",,
"1","Newfoundland and Labrador - total census metropolitan area","","16","15","",,
"1","Nova Scotia - total census metropolitan area","","18","15","",,
"1","New Brunswick - total census metropolitan area","","20","15","",,
"1","Quebec - total census metropolitan area","","23","15","",,
"1","Ontario - total census metropolitan area","","30","15","",,
"1","Manitoba - total census metropolitan area","","47","15","",,
"1","Saskatchewan - total census metropolitan area","","49","15","",,
"1","Alberta - total census metropolitan area","","52","15","",,
"1","British Columbia - total census metropolitan area","","56","15","",,
"1","St. John's, Newfoundland and Labrador","[001]","17","16","",,
"1","Halifax, Nova Scotia","[205]","19","18","",,
"1","Saint John, New Brunswick","[310]","22","20","",,
"1","Fredericton, New Brunswick","[320]","61","20","",,
"1","Moncton, New Brunswick","[305]","21","20","",,
"1","Drummondville, Quebec","[447]","62","23","",,
"1","Montréal, Quebec","[462]","24","23","",,
"1","Ottawa-Gatineau, Québec part","[24505]","25","23","",4,
"1","Québec, Quebec","[421]","26","23","",,
"1","Saguenay, Quebec","[408]","27","23","",5,
"1","Sherbrooke, Quebec","[433]","28","23","",,
"1","Trois-Rivières, Quebec","[442]","29","23","",,
"1","Barrie, Ontario","[568]","31","30","",,
"1","Belleville - Quinte West, Ontario","[522]","32","30","",,
"1","Brantford, Ontario","[543]","33","30","",,
"1","Greater Sudbury, Ontario","[580]","34","30","",3,
"1","Guelph, Ontario","[550]","35","30","",,
"1","Hamilton, Ontario","[537]","36","30","",,
"1","Kingston, Ontario","[521]","37","30","",,
"1","Kitchener-Cambridge-Waterloo, Ontario","[541]","38","30","",,
"1","London, Ontario","[555]","39","30","",,
"1","Oshawa, Ontario","[532]","40","30","",,
"1","Ottawa-Gatineau, Ontario part","[35505]","41","30","",4,
"1","Peterborough, Ontario","[529]","42","30","",,
"1","St. Catharines-Niagara, Ontario","[539]","43","30","",,
"1","Thunder Bay, Ontario","[595]","44","30","",,
"1","Toronto, Ontario","[535]","45","30","",,
"1","Windsor, Ontario","[559]","46","30","",,
"1","Winnipeg, Manitoba","[602]","48","47","",,
